order_id,status,received_date,paid_date,shipped_date,tax,shipping,total,coupon_discount,coupon_code,item_count,items,email,name,address1,address2,city,state,zipcode,country,phone,shipping_method,shipping_method_option,special_instructions,gateway,gateway_method,payment_currency,transaction_id
yeefant,order_paid,29/08/2025 15:53,29/08/2025 15:53,,0,,6.99,,,1,[AEROM-ISSUE142] Issue 142 (1060): 1 * 6.99 GBP,taylorkeith@yahoo.com,Monica Palmer,574 Todd Port,Suite 367,West Elizabethmouth,Missouri,13996,SC,(532)466-1471x44815,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,QAQUIJKNK96VDYG
e8bm13o,order_paid,29/08/2025 13:20,29/08/2025 13:20,,0,,5.99,,,1,[TMMI-359] Issue 359 &#8211; September 2025: 1 * 5.99 GBP,campbelltimothy@walton.info,James Young,292 James Center Suite 716,Apt. 382,East Roberttown,Mississippi,99448,NG,841.259.0117x25761,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,ZJ0WDR4NQMHF066
0f7t4g5,order_paid,29/08/2025 12:52,29/08/2025 12:52,,0,,30,,,1,[SLOTMAG-SUB-RENEW-6] Renew Your Slot Subscription (6 Issues): 1 * 30.00 GBP,mgreen@johnson.info,Pamela Glenn,0632 Elizabeth Canyon,Suite 130,Joannaburgh,Tennessee,89160,SA,953.345.9930,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,RXIVAY5KJ6HB9ER
2xhmdmn,order_paid,29/08/2025 07:13,29/08/2025 07:13,,0,2.5,14.48,,,2,"[TMMI-358] Issue 358 &#8211; August 2025: 1 * 5.99 GBP
[TMMI-356] Issue 356 &#8211; June 2025: 1 * 5.99 GBP",ericlin@clark.org,Kelsey Rosales,12188 Davis Street,Apt. 102,South John,North Carolina,54734,HN,001-611-785-0959x9463,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,PQ8QA0KQPL78WMI
pvd5zqy,order_paid,29/08/2025 06:44,29/08/2025 06:44,,0,10.25,45.17,,,4,"[ADH181] How to Build the P-40E-N in 1:48: 1 * 16.95 GBP
[MAI-241] MAI Issue 241 &#8211; Aug 2025: 1 * 5.99 GBP
[MAI-240] MAI Issue 240 &#8211; July 2025: 1 * 5.99 GBP
[MAI-239] MAI Issue 239 &#8211; June 2025: 1 * 5.99 GBP",amandatrujillo@yahoo.com,Erika Smith,52705 Rachel Forges Suite 822,Suite 951,Jonesport,Arizona,8694,GY,964.005.7390x597,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,BT6V1XG66ZHHWCA
3s4h8md,order_paid,29/08/2025 01:09,29/08/2025 01:09,,0,2,16.95,,,1,[ADH178] HOW TO BUILD TAMIYA’S 1:48 SUPERMARINE SPITFIRE MK.I: 1 * 14.95 GBP,barnesbilly@hotmail.com,Melinda Kelly,26942 Deborah Points,Suite 693,New Ashley,Tennessee,97509,GN,288-195-4654x697,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,4Q1BHU4W2W00FDQ
tif99vf,order_paid,28/08/2025 19:03,28/08/2025 19:03,,0,,5.99,,,1,[TMMI-pre-order-next-issue] Tamiya Model Magazine 359: 1 * 5.99 GBP,jaclyn67@conway-vazquez.com,Amber Boyle,40054 Bond Ville Suite 299,Apt. 932,Emilyport,Colorado,96255,SV,+1-195-467-3438x6776,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,466CY317XWLKDX3
sg5a88g,order_paid,28/08/2025 18:28,28/08/2025 18:28,,0,5.5,43.39,,,3,"[ADH181] How to Build the P-40E-N in 1:48: 1 * 16.95 GBP
[ADH178] HOW TO BUILD TAMIYA’S 1:48 SUPERMARINE SPITFIRE MK.I: 1 * 14.95 GBP
[MAI-241] MAI Issue 241 &#8211; Aug 2025: 1 * 5.99 GBP",sherrymorales@hotmail.com,Bruce Douglas,2513 Cody Creek,Suite 091,West Annaborough,South Dakota,83230,DZ,1018884751,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,CVBBGRTP6F1AO6G
3ir8vpg,order_paid,28/08/2025 18:23,28/08/2025 18:23,,0,2,41.99,,,1,[ADH025] Thunderbolts of the Hell Hawks: 1 * 39.99 GBP,elizabeth80@hotmail.com,Alejandro Thomas,3357 Washington Lights Apt. 959,Apt. 306,New Michelle,New Hampshire,89514,TJ,(592)784-6515x24239,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,A4Q8F8VQAT5UV0Q
amhmo2k,order_paid,28/08/2025 16:45,28/08/2025 16:45,,0,2,25.99,,,1,[2035] RC2035 Power beyond the Basics: 1 * 23.99 GBP,williamsheppard@hotmail.com,Michaela Ramos,25538 Moore Place,Apt. 199,New Manuelhaven,Maryland,87880,PY,950.776.4154,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,A4AC0VABQTC9R72
ersqnpg,order_paid,28/08/2025 16:30,28/08/2025 16:30,,0,8.5,25.45,,,1,[ADH181] How to Build the P-40E-N in 1:48: 1 * 16.95 GBP,amandaking@hotmail.com,Cynthia Gray,9746 Cole Knoll,Suite 650,Davidbury,Idaho,27575,SI,2000568961,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,GGEHTBOQBRY8L9H
4yoxme8,order_paid,28/08/2025 16:28,28/08/2025 16:28,,0,8.5,25.45,,,1,[ADH181] How to Build the P-40E-N in 1:48: 1 * 16.95 GBP,susanturner@yahoo.com,Angelica Ross,6903 Rivera Landing Apt. 578,Apt. 256,Lake Amy,South Carolina,67473,LY,8467631508,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,5T4RONDGYH27FXR
dkqwht1,order_paid,27/08/2025 20:27,27/08/2025 20:27,,0,2.5,14.48,,,2,"[MAI-241] MAI Issue 241 &#8211; Aug 2025: 1 * 5.99 GBP
[MAI-240] MAI Issue 240 &#8211; July 2025: 1 * 5.99 GBP",scotthumphrey@gmail.com,Robert Friedman,975 Victor Pass Suite 758,Apt. 517,South Mariahport,Alaska,85276,CO,+1-954-746-8598,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,PJWR79MJ0RAVI0V
aka5gcv,order_paid,27/08/2025 15:33,27/08/2025 15:33,,0,,11.98,,,2,"[TMMI-357] Issue 357 &#8211; July 2025: 1 * 5.99 GBP
[TMMI-358] Issue 358 &#8211; August 2025: 1 * 5.99 GBP",warren82@lawson.com,Miguel Butler,683 Samuel Plains,Suite 069,West Richardmouth,Ohio,6439,MT,717.750.3065,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,C2FK25W9VFZLRVT
t0exk4m,order_paid,27/08/2025 10:08,27/08/2025 10:08,,0,,55,,,1,[MAIRenew12issues] Renew Your Sub To MAI 24 issues &#038; get a FREE gift worth £45: Model Airplane Magazine 12 issues UK: 1 * 55.00 GBP,saunderspamela@gmail.com,Justin Gonzalez,96045 Christina Flat Suite 336,Suite 357,Port Kennethland,Mississippi,56007,EG,371-583-0003,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,71WKFGKRL1XN43Z
z1nsh9b,order_paid,27/08/2025 09:14,27/08/2025 09:14,,0,2.5,14.48,,,2,"[TMMI-356] Issue 356 &#8211; June 2025: 1 * 5.99 GBP
[TMMI-346] Issue 346 &#8211; Aug 2024: 1 * 5.99 GBP",alexa63@lloyd.com,Jessica Stark,1555 Dickerson Light Apt. 743,Suite 874,West Cody,Illinois,83426,LI,9021416353,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,GHJJMRKWW0LYQ3Z
f9uyzuf,order_paid,27/08/2025 08:06,27/08/2025 08:06,,0,6.25,36.2,,,5,"[TMMI-356] Issue 356 &#8211; June 2025: 1 * 5.99 GBP
[TMMI-355] Issue 355 &#8211; May 2025: 1 * 5.99 GBP
[TMMI-341] Issue 341 &#8211; March 2024: 1 * 5.99 GBP
[TMMI-340] Issue 340 &#8211; Feb 2024: 1 * 5.99 GBP
[TMMI-339] Issue 339 &#8211; Jan 2024: 1 * 5.99 GBP",williamsilva@mcconnell-lucas.biz,Adam Smith,42272 Ryan Dale,Apt. 485,Port Jeffrey,Indiana,85977,NI,103.888.3654,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,MZ9EHD1T2MFJSAO
oidev3s,order_paid,27/08/2025 08:01,27/08/2025 08:01,,0,3.5,20.45,,,1,[ADH181] How to Build the P-40E-N in 1:48: 1 * 16.95 GBP,donald49@bolton.net,Marcus Brown,19662 Bautista Causeway Apt. 111,Suite 374,Lake Michaelview,Nevada,9587,MW,141-623-4704x84367,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,VV64UEMF3E6PNRO
ask7yft,order_paid,26/08/2025 21:40,26/08/2025 21:40,,0,3.75,21.72,,,3,"[MMI-Issue-232] Issue 232 &#8211; Aug 2025: 1 * 5.99 GBP
[MMI-Issue-233] Issue 233 &#8211; Sept 2025: 1 * 5.99 GBP
[TMMI-358] Issue 358 &#8211; August 2025: 1 * 5.99 GBP",williamsbrian@yahoo.com,Rodney Henderson MD,053 Sarah Trail Apt. 808,Apt. 679,Port Colinborough,Pennsylvania,61756,DM,067.105.2613x590,,,,PayPal Express Checkout,"PayPal balance, Credit Card, or Instant Transfer",GBP,1Z0SFU5MUHUQA1F
